board_id,office_code,represented_body,display_name,short_name,boundary_regime,ward_id,official_geographic_name,city_boundary_regime,city_wards,source_authority,source_url,source_date
viamonde,5,conseil_scolaire_viamonde,Conseil scolaire Viamonde,Viamonde,viamonde-trustee-wards-2003,3,,toronto_council_44_wards,14;17;18;19;20;21;22;27;28;29;30;31;32,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
viamonde,5,conseil_scolaire_viamonde,Conseil scolaire Viamonde,Viamonde,viamonde-trustee-wards-2003,4,,toronto_council_44_wards,1;2;3;4;5;6;7;8;9;10;11;12;13;15,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
monavenir,6,conseil_scolaire_catholique_monavenir,Conseil scolaire catholique MonAvenir,MonAvenir,monavenir-trustee-wards-2003,3,,toronto_council_44_wards,1;2;7;8;9;10;12;15;16;23;24;25;33;34;37;38;39;40;41;42;43;44,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
monavenir,6,conseil_scolaire_catholique_monavenir,Conseil scolaire catholique MonAvenir,MonAvenir,monavenir-trustee-wards-2003,4,,toronto_council_44_wards,3;4;5;6;11;13;14;17;18;19;20;21;22;26;27;28;29;30;31;32;35;36,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/1ed53c9d-a316-465e-96ce-e72be74f8aa9/download/2003-results.zip,2003-11-10
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,1,,toronto_council_44_wards,1;2,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,2,,toronto_council_44_wards,3;4,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,3,,toronto_council_44_wards,5;6,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,4,,toronto_council_44_wards,7;8,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,5,,toronto_council_44_wards,9;10,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,6,,toronto_council_44_wards,11;12,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,7,,toronto_council_44_wards,13;14,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,8,,toronto_council_44_wards,15;16,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,9,,toronto_council_44_wards,17;18,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,10,,toronto_council_44_wards,19;20,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,11,,toronto_council_44_wards,21;22,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,12,,toronto_council_44_wards,23;24,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,13,,toronto_council_44_wards,25;26,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,14,,toronto_council_44_wards,27;28,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,15,,toronto_council_44_wards,29;30,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
tdsb,3,toronto_district_school_board,Toronto District School Board,TDSB,tdsb-trustee-wards-2006,16,,toronto_council_44_wards,31;32,City of Toronto,https://ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3fb1227c-a279-4523-a1aa-f00190ba717f/download/2006-results.zip,2006-11-13
