election_year,election_date,election_type,ward_system,office,ward_number,ward_name,contest_id,candidate_name,candidate_first_name,candidate_last_name,candidate_name_raw,candidate_id,candidate_id_confidence,votes,total_contest_votes,vote_share,vote_rank,n_candidates,elected,acclaimed,incumbent,incumbent_source,incumbent_confidence,source
2000,2000-11-13,general,44-ward,councillor,29,,2000-councillor-29,Bob Dale,Bob,Dale,BOB DALE,c00287,1.0,1963,14290,0.13736878936319105,3,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,29,,2000-councillor-29,Nick Radia,Nick,Radia,NICK RADIA,c01329,1.0,276,14290,0.019314205738278516,4,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,30,,2000-councillor-30,Jack Layton,Jack,Layton,JACK LAYTON,c00958,1.0,8671,14514,0.5974231776216067,1,6,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,30,,2000-councillor-30,Linda Lynch,Linda,Lynch,LINDA LYNCH,c01184,1.0,3750,14514,0.25837122778007443,2,6,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,30,,2000-councillor-30,Ty Daniels,Ty,Daniels,TY DANIELS,c00582,1.0,817,14514,0.05629047815901888,3,6,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,30,,2000-councillor-30,Jeff Layton,Jeff,Layton,JEFF LAYTON,c00988,1.0,627,14514,0.04319966928482844,4,6,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,30,,2000-councillor-30,Ghuffar Rabbani,Ghuffar,Rabbani,GHUFFAR RABBANI,c00849,1.0,523,14514,0.03603417390106105,5,6,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,30,,2000-councillor-30,Joseph Norte,Joseph,Norte,JOSEPH NORTE,c01056,1.0,126,14514,0.0086812732534105,6,6,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,31,,2000-councillor-31,Michael Prue,Michael,Prue,MICHAEL PRUE,c01264,1.0,10435,14173,0.7362590841741339,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,31,,2000-councillor-31,Paul Fernandes,Paul,Fernandes,PAUL FERNANDES,c00759,1.0,3183,14173,0.2245819515981091,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,31,,2000-councillor-31,John Simmons,John,Simmons,JOHN SIMMONS,c01034,0.9090908765792847,555,14173,0.039158964227757005,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,32,,2000-councillor-32,Sandra Bussin,Sandra,Bussin,SANDRA BUSSIN,c00360,1.0,10766,17412,0.6183092120376752,1,5,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,32,,2000-councillor-32,David Moll,David,Moll,DAVID MOLL,c00607,1.0,5530,17412,0.317597059499196,2,5,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,32,,2000-councillor-32,Paul Azzarello,Paul,Azzarello,PAUL AZZARELLO,c00206,1.0,419,17412,0.024063864001837812,3,5,False,False,False,,0.85,city_web_final
