election_year,member_name,candidate_id,office,match_key,incumbent_source,confidence,candidate_id_resolution
2014,Gary Crawford,c00533,councillor,crawford gary,city_attendance,0.95,matched
2014,Vincent Crisanti,c00535,councillor,crisanti vincent,city_attendance,0.95,matched
2014,David Shiner,c00607,councillor,david shiner,city_attendance,0.95,matched
2014,Janet Davis,c00615,councillor,davis janet,city_attendance,0.95,matched
2014,Mike Del Grande,c00629,councillor,del grande mike,city_attendance,0.95,matched
2014,Denzil Minnan-Wong,c00636,councillor,denzil minnan-wong,city_attendance,0.95,matched
2014,Frank Di Giorgio,c00654,councillor,di frank giorgio,city_attendance,0.95,matched
2014,Sarah Doucette,c00685,councillor,doucette sarah,city_attendance,0.95,matched
2014,Doug Ford,c00686,councillor,doug ford,city_attendance,0.95,matched
2014,John Filion,c00755,councillor,filion john,city_attendance,0.95,matched
2014,Paula Fletcher,c00757,councillor,fletcher paula,city_attendance,0.95,matched
2014,Rob Ford,c00763,mayor,ford rob,city_attendance,0.95,matched
2014,Mary Fragedakis,c00772,councillor,fragedakis mary,city_attendance,0.95,matched
2014,Frances Nunziata,c00773,councillor,frances nunziata,city_attendance,0.95,matched
2014,Giorgio Mammoliti,c00837,councillor,giorgio mammoliti,city_attendance,0.95,matched
2014,Gloria Lindsay Luby,c00847,councillor,gloria lindsay luby,city_attendance,0.95,matched
2014,Gord Perks,c00854,councillor,gord perks,city_attendance,0.95,matched
2014,Mark Grimes,c00872,councillor,grimes mark,city_attendance,0.95,matched
2014,James Maloney,,councillor,james maloney,city_voting,0.9,no_results_match
2014,James Pasternak,c00957,councillor,james pasternak,city_attendance,0.95,matched
2014,Jaye Robinson,c00973,councillor,jaye robinson,city_attendance,0.95,matched
2014,Joe Mihevc,c01000,councillor,joe mihevc,city_attendance,0.95,matched
2014,John Parker,c01015,councillor,john parker,city_attendance,0.95,matched
2014,Josh Matlow,c01043,councillor,josh matlow,city_attendance,0.95,matched
2014,Karen Stintz,c01061,councillor,karen stintz,city_attendance,0.95,matched
2014,Norman Kelly,c01071,councillor,kelly norman,city_attendance,0.95,matched
2014,Kristyn Wong-Tam,c01116,councillor,kristyn wong-tam,city_attendance,0.95,matched
2014,Mike Layton,c01140,councillor,layton mike,city_attendance,0.95,matched
2014,Peter Leon,,councillor,leon peter,city_voting,0.9,no_results_match
2014,Mary-Margaret McMahon,c01210,councillor,mary-margaret mcmahon,city_attendance,0.95,matched
2014,Pam McConnell,c01222,councillor,mcconnell pam,city_attendance,0.95,matched
2014,Michael Thompson,c01240,councillor,michael thompson,city_attendance,0.95,matched
2014,Peter Milczyn,c01251,councillor,milczyn peter,city_attendance,0.95,matched
2014,Ron Moeser,c01258,councillor,moeser ron,city_attendance,0.95,matched
2018,Paul Ainslie,c00047,councillor,ainslie paul,city_attendance,0.95,matched
